like1,PARM1,PARM5,PARM12,PARM15,PARM16,PARM17,PARM20,PARM22,PARM23,PARM25,PARM34,PARM39,PARM40,PARM42,PARM44,PARM49,PARM50,PARM51,PARM61,PARM73,PARM83,PARM87,PARM88,PARM89,PARM90,PARM91,PARM92,chain
-25518.045,1.0917572,0.43613324,1.8456229,0.2756744,1.2377523,0.040740166,0.11162647,0.4208161,0.0026355681,0.7043033,0.5402339,0.092034705,0.89543307,1.5325047,1.6228055,8.013474,0.095683835,0.32245994,0.47925428,0.18001476,1.0668484,0.9159507,0.37994596,0.16919345,4.4047174,0.5567645,0.5869082,0.0
-3171.4644,1.9019172,0.8109937,2.2199602,0.13475738,1.2810345,0.17881168,0.23485485,0.17484826,0.0027778603,1.0575416,0.53083724,0.028699236,0.16531283,2.3249147,1.7329913,6.663261,0.21215817,0.75305706,0.14463343,0.41094828,1.8644706,0.57820743,0.46435443,0.45198184,7.477153,0.80217373,1.4952013,1.0
-4117.7124,1.3492435,0.26689625,1.7550232,0.05070012,1.1512632,0.22235107,0.26724398,0.33673963,0.0030363523,0.549086,0.5671583,0.008648923,0.81139535,0.5373363,1.4540299,1.3576176,0.28029573,0.68400174,0.71598536,0.48015177,7.3611436,0.737826,0.5485567,0.53253925,5.210086,0.1958512,0.76610225,2.0
-31521.887,1.5216042,0.72838014,1.5925717,0.19216846,1.0504352,0.35828435,0.07906096,0.30243343,0.0029468986,1.8427062,0.58235514,0.018204734,0.643241,1.9266967,1.0940351,13.464633,0.19047932,0.4747708,0.4128712,0.6358568,3.5235763,0.48491776,0.1792283,0.38405955,9.060899,0.29328904,1.3091115,3.0
-13591.806,1.7064648,0.639398,1.6689712,0.16201092,1.4245651,0.27619442,0.36275923,0.25992793,0.002548276,1.6476778,0.5905575,0.03770061,0.5530103,2.1333747,1.2609997,11.947796,0.07451917,0.16778407,0.32739273,0.77624744,5.4741435,0.66007465,0.7107545,0.23442349,6.8370743,0.70715827,0.42168093,4.0
-12473.893,1.2594671,0.18276219,1.9423825,0.21797763,1.1987933,0.44803485,0.14101978,0.22304672,0.0026995668,1.4288305,0.5213128,0.048057217,0.2621271,0.7434938,1.1728784,5.150292,0.23301467,0.39337903,0.6360853,0.25379205,2.7066996,0.10293333,0.8225669,0.30948228,8.262625,0.46285304,1.0863373,5.0
-7960.294,1.8015724,0.5481189,2.4120948,0.078403555,1.3286585,0.13952275,0.3299674,0.37350783,0.003118747,0.39136517,0.55916804,0.075362705,0.7244334,1.7262186,1.8184927,2.4786277,0.16608512,0.6171565,0.8699955,0.6933134,4.410943,0.39578873,0.09464773,0.6041266,2.7553153,0.6310215,1.6355281,6.0
-7384.8003,1.6183444,0.09012939,2.1244376,0.025941988,1.3719423,0.087833405,0.20476606,0.13343616,0.0023784272,0.8927854,0.574973,0.08331507,0.083013386,1.3683826,1.5348159,9.26295,0.14232227,0.2509851,0.7945999,0.33005896,9.123547,0.20740902,0.27776837,0.7470786,2.0031345,0.9114883,0.26134938,7.0
-9260.341,1.1651655,0.90534747,2.0392847,0.10406537,1.4603354,0.40231425,0.17370325,0.097060055,0.0028637904,1.2230681,0.5124045,0.057328347,0.473808,1.1689062,1.907333,3.9368048,0.1204032,0.5488091,0.55398333,0.56034386,8.285368,0.83122385,0.9038631,0.81727123,6.018998,0.38189,0.91780186,8.0
-869.6174,1.4332849,0.3492387,2.3018365,0.2501537,1.1013703,0.31706694,0.29536104,0.46665102,0.002477239,0.16888805,0.55051893,0.06616815,0.3551461,0.9515431,1.348889,10.613098,0.25709906,0.8261777,0.22780962,0.8411653,6.4607215,0.2991379,0.6389615,0.668403,3.4867425,0.114179745,1.819338,9.0
-16322.638,1.4878905,0.0047924565,2.230847,0.03962079,1.1829929,0.087583184,0.11852237,0.40238723,0.002473343,0.028688744,0.5208265,0.065139316,0.14939137,1.722763,1.2693425,13.420361,0.29647562,0.8716809,0.22359884,0.32273948,8.7173,0.34118167,0.13730286,0.1812688,5.637547,0.65224594,1.0525936,0.0
