like1,PARM12,PARM17,PARM20,PARM23,PARM40,PARM49,PARM50,PARM51,PARM90,PARM92,chain
-4662.1206,2.3394635,0.086231135,0.27820876,0.003124764,0.73382705,8.039168,0.18326944,0.68245804,9.199905,1.300884,1
-2789.527,2.1281738,0.269689,0.18502313,0.002704506,0.08898929,13.586431,0.16198915,0.4616103,1.8543471,1.6494179,2
-32555.934,1.7782311,0.3130291,0.36861148,0.002776241,0.6583737,10.80324,0.13616751,0.39914414,7.6279387,1.1148238,3
-6050.1494,2.2376196,0.4510718,0.33745956,0.002852175,0.83312935,5.17756,0.25149894,0.82754344,5.121193,1.819727,4
-29067.361,1.9468206,0.35842884,0.081033,0.002610839,0.19831538,9.411357,0.2284931,0.609471,6.076699,0.96060884,5
-6204.6616,1.6943121,0.177093,0.30791634,0.002942713,0.56057763,6.5570793,0.09291872,0.5315653,6.8974285,1.462013,6
-5985.2915,2.0259533,0.04274634,0.2153785,0.003033384,0.47867668,2.7644787,0.2057422,0.31545144,2.6424685,0.7880575,7
-20464.744,1.600709,0.13524489,0.25216612,0.002373841,0.29466936,1.6486286,0.27903187,0.7543575,4.347274,0.25351638,8
-3319.2773,2.4210532,0.41128185,0.15361705,0.00245125,0.9098757,3.9246912,0.07316504,0.24562016,8.498527,0.5766731,9
-5632.8877,1.7013919,0.146009,0.13384877,0.002647042,0.07803476,13.081017,0.16170502,0.28700387,2.0584476,1.0098797,0
-40216.473,2.262308,0.13382271,0.31873137,0.003030346,0.8205509,8.6298485,0.20194468,0.83706814,9.692355,1.8072088,1
-26970.309,2.0824785,0.31826612,0.33263695,0.002830677,0.24312377,12.844615,0.17564562,0.5786441,4.114886,1.944002,2
-1552.7098,2.1970432,0.48123628,0.3734774,0.002933767,0.966217,10.98772,0.110128485,0.5518875,8.440394,1.8016741,3
-634.1048,2.1342332,0.36009446,0.2778687,0.002637402,0.62265676,0.2726302,0.27370596,0.76562136,3.5432968,1.3155416,4
-5130.2515,1.852594,0.1734292,0.057762932,0.002584129,0.19768853,11.586968,0.29807147,0.7031706,4.532645,0.76070315,5
-1905.4398,1.595747,0.13094586,0.24522372,0.002755193,0.821822,5.163813,0.05574336,0.23790847,8.54745,0.11710288,6
-954.6734,1.9150308,0.038653035,0.20782211,0.002951771,0.7142522,1.1264187,0.091085985,0.17010315,4.383063,0.17345437,7
-9763.714,2.5,0.29621437,0.3848707,0.002568337,0.19846375,12.560263,0.14743951,0.60873044,2.1658897,0.55287355,8
-1032.6542,2.1620362,0.33631757,0.09913716,0.002445828,0.8458285,2.8386962,0.058834504,0.18639793,9.078663,0.17965078,9
-26618.227,2.1295726,0.49728963,0.3339641,0.002612805,0.12505633,0.00309,0.11073867,0.32681185,2.031827,1.3949646,0
-2408.6733,2.3571548,0.17365688,0.38251266,0.002967267,0.8021418,13.065391,0.18326944,0.8972004,8.873635,1.8387533,1
-41931.11,2.3890047,0.22019038,0.3177736,0.003012323,0.38885316,11.661248,0.16198915,0.450621,4.388332,1.955459,2
-5087.3086,2.4381406,0.4803735,0.33001298,0.002965086,0.36996266,11.447238,0.110128485,0.8171898,3.3288167,1.3768256,3
-33264.492,2.4393265,0.4410941,0.36560324,0.002615758,0.47378466,5.4008045,0.27370596,0.8725893,2.6881752,1.6747675,4
-48056.27,1.721535,0.007271286,0.12001877,0.002841868,0.12539501,10.638597,0.29807147,0.6948218,1.8741652,0.7575044,5
-3634.895,1.6128144,0.11755262,0.14471726,0.002622551,0.9365649,6.5558505,0.05574336,0.31157678,8.376044,0.70605505,6
-23162.158,1.7529594,0.057102688,0.18643048,0.003036963,0.3480005,6.290989,0.091085985,0.4545085,1.7171795,0.50051576,7
-4080.7178,2.4943018,0.2207711,0.38491747,0.002681943,0.6591778,9.278581,0.14743951,0.3570267,7.4899263,0.37933347,8
-3571.7817,2.433482,0.12915891,0.16505541,0.003068512,0.9571686,4.5083637,0.058834504,0.2744402,7.0983167,0.82340705,9
-11747.331,2.346914,0.22611107,0.06726232,0.002518882,0.083100535,13.70508,0.11073867,0.17461081,3.5115273,0.41368583,0
-2843.188,1.9455183,0.17365688,0.2959379,0.002967267,0.97972476,10.333613,0.18326944,0.8972004,8.873635,1.8387533,1
-2488.6008,2.1801805,0.269689,0.3221117,0.002704506,0.39354807,14.793009,0.16198915,0.4616103,1.8543471,1.6494179,2
-40771.527,2.3593004,0.48123628,0.38559327,0.002933767,0.80308515,0.00309,0.110128485,0.5518875,8.440394,1.8016741,3
-16396.7,1.8705268,0.36009446,0.30736285,0.002637402,0.71040434,3.6857538,0.27370596,0.76562136,3.5432968,1.3155416,4
-6047.872,1.6288275,0.1734292,0.20579697,0.002584129,0.13505913,9.010995,0.29807147,0.7031706,4.532645,0.76070315,5
-1107.372,1.761714,0.13094586,0.09746198,0.002755193,0.6267573,12.008966,0.05574336,0.23790847,8.54745,0.11710288,6
-12292.5205,2.0260334,0.038653035,0.26959285,0.002951771,0.8241378,4.970578,0.091085985,0.17010315,4.383063,0.17345437,7
-4081.9966,2.4500055,0.2207711,0.3033056,0.002681943,0.39327094,11.117783,0.14743951,0.3570267,7.4899263,0.37933347,8
-5466.897,2.4618652,0.33631757,0.27687618,0.002445828,0.692183,1.0399946,0.058834504,0.18639793,9.078663,0.17965078,9
-5415.563,2.064261,0.22611107,0.13194764,0.002555769,0.37923926,11.365365,0.06560719,0.29086906,6.093892,0.34256127,0
-4654.628,2.236405,0.17365688,0.27723557,0.002854403,0.8021418,12.456734,0.20787404,0.7348568,8.239889,1.9768691,1
-18436.432,1.8812804,0.269689,0.26882097,0.002857303,0.39354807,8.666618,0.12597457,0.34784952,2.0426824,1.5319842,2
